epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2771.73,1.38932,1.61148,1.46511,0.90022,0.91606,0.96399,0.5815,1.38414,0.54724,1.6414,0.000998964,0.000998964,0.0677002
2,2903.61,1.29065,0.89397,1.37492,0.94406,0.94477,0.97632,0.63808,1.19068,0.41698,1.59744,0.00198577,0.00198577,0.0353536
3,3032.55,1.19282,0.78473,1.30517,0.96439,0.96317,0.98758,0.72702,0.98036,0.34119,1.37018,0.00295938,0.00295938,0.00299392
4,3160.68,1.12603,0.73725,1.27541,0.98989,0.97621,0.99293,0.75093,0.94164,0.28526,1.31095,0.0029406,0.0029406,0.0029406
5,3289,1.06025,0.6755,1.23728,0.97024,0.9879,0.99377,0.76928,0.8854,0.27339,1.28415,0.0029208,0.0029208,0.0029208
6,3417.09,1.03099,0.64223,1.21872,0.9822,0.98783,0.99405,0.79434,0.85968,0.2516,1.24344,0.002901,0.002901,0.002901
7,3544.74,0.98472,0.6129,1.19605,0.99333,0.98394,0.99446,0.80796,0.81071,0.236,1.20277,0.0028812,0.0028812,0.0028812
8,3672.89,0.97204,0.59252,1.18602,0.99407,0.98568,0.99477,0.8279,0.74705,0.20856,1.17489,0.0028614,0.0028614,0.0028614
9,3801.03,0.93458,0.57968,1.16972,0.98118,0.99091,0.99439,0.82969,0.76069,0.22487,1.18832,0.0028416,0.0028416,0.0028416
10,3929.28,0.9118,0.56175,1.15568,0.9908,0.97863,0.9945,0.84036,0.71089,0.21636,1.13081,0.0028218,0.0028218,0.0028218
11,4056.24,0.90165,0.56205,1.15299,0.99543,0.99107,0.99485,0.84504,0.71036,0.20726,1.12936,0.002802,0.002802,0.002802
12,4182.36,0.87849,0.54132,1.13662,0.99294,0.98783,0.995,0.84997,0.67326,0.19098,1.1112,0.0027822,0.0027822,0.0027822
13,4308.13,0.86227,0.53219,1.12553,0.98573,0.98311,0.99424,0.84268,0.67155,0.21406,1.11573,0.0027624,0.0027624,0.0027624
14,4433.4,0.8507,0.53654,1.12354,0.98721,0.98777,0.99342,0.85089,0.65935,0.20752,1.08859,0.0027426,0.0027426,0.0027426
15,4559.35,0.8343,0.51788,1.11612,0.98137,0.99412,0.995,0.85961,0.65247,0.19299,1.08459,0.0027228,0.0027228,0.0027228
16,4685.46,0.82369,0.51355,1.11103,0.9953,0.99341,0.995,0.86983,0.63331,0.17341,1.07269,0.002703,0.002703,0.002703
17,4814.2,0.81311,0.50665,1.10481,0.99341,0.99932,0.995,0.87277,0.61338,0.16545,1.05453,0.0026832,0.0026832,0.0026832
18,4943.5,0.80623,0.5039,1.10134,0.98674,0.98629,0.99462,0.87324,0.61866,0.18461,1.07523,0.0026634,0.0026634,0.0026634
19,5072.31,0.7939,0.48763,1.09198,0.98889,0.99505,0.995,0.87438,0.6294,0.17861,1.06717,0.0026436,0.0026436,0.0026436
20,5202.41,0.79373,0.49105,1.09612,0.99158,0.99589,0.995,0.88743,0.58495,0.15896,1.04584,0.0026238,0.0026238,0.0026238
21,5332.49,0.78118,0.47234,1.08826,0.9846,0.99033,0.99471,0.89594,0.57218,0.16829,1.04073,0.002604,0.002604,0.002604
22,5461.61,0.76151,0.47876,1.07822,0.99465,0.99801,0.995,0.89469,0.56149,0.15575,1.02686,0.0025842,0.0025842,0.0025842
23,5591.24,0.75715,0.47277,1.07465,0.98923,0.99263,0.99485,0.89627,0.56119,0.15991,1.03978,0.0025644,0.0025644,0.0025644
24,5721.54,0.76394,0.46256,1.0812,0.99452,0.99151,0.995,0.8977,0.56499,0.15995,1.04248,0.0025446,0.0025446,0.0025446
25,5850.7,0.74179,0.45923,1.0702,0.99449,0.99261,0.995,0.9012,0.53652,0.15506,1.00986,0.0025248,0.0025248,0.0025248
26,5979.61,0.73175,0.4445,1.06589,0.99548,0.99206,0.99462,0.90309,0.53355,0.15022,1.01192,0.002505,0.002505,0.002505
27,6108.63,0.73946,0.44884,1.06678,0.98796,0.99749,0.995,0.91094,0.50895,0.14726,0.99379,0.0024852,0.0024852,0.0024852
28,6238.04,0.72787,0.45687,1.05989,0.99442,0.99321,0.995,0.91061,0.50974,0.14333,0.99556,0.0024654,0.0024654,0.0024654
